Theta, USetpoint, VSetpoint, WSetpoint
0 1499 3300 3300
1 1499 3297 3300
2 1498 3294 3301
3 1497 3291 3302
4 1496 3289 3303
5 1495 3286 3304
6 1494 3283 3305
7 1493 3280 3306
8 1492 3278 3307
9 1491 3275 3308
10 1491 3272 3308
11 1490 3269 3309
12 1489 3267 3310
13 1488 3264 3311
14 1487 3261 3312
15 1486 3258 3313
16 1485 3256 3314
17 1484 3253 3315
18 1484 3250 3315
19 1483 3247 3316
20 1482 3245 3317
21 1481 3242 3318
22 1480 3239 3319
23 1479 3236 3320
24 1479 3233 3320
25 1478 3231 3321
26 1477 3228 3322
27 1476 3225 3323
28 1475 3222 3324
29 1474 3219 3325
30 1474 3217 3325
31 1473 3214 3326
32 1472 3211 3327
33 1471 3208 3328
34 1470 3205 3329
35 1469 3203 3330
36 1469 3200 3330
37 1468 3197 3331
38 1467 3194 3332
39 1466 3191 3333
40 1465 3189 3334
41 1465 3186 3334
42 1464 3183 3335
43 1463 3180 3336
44 1462 3177 3337
45 1462 3174 3337
46 1461 3172 3338
47 1460 3169 3339
48 1459 3166 3340
49 1458 3163 3341
50 1458 3160 3341
51 1457 3157 3342
52 1456 3155 3343
53 1455 3152 3344
54 1455 3149 3344
55 1454 3146 3345
56 1453 3143 3346
57 1452 3140 3347
58 1452 3137 3347
59 1451 3134 3348
60 1450 3132 3349
61 1449 3129 3350
62 1449 3126 3350
63 1448 3123 3351
64 1447 3120 3352
65 1446 3117 3353
66 1446 3114 3353
67 1445 3111 3354
68 1444 3109 3355
69 1444 3106 3355
70 1443 3103 3356
71 1442 3100 3357
72 1441 3097 3358
73 1441 3094 3358
74 1440 3091 3359
75 1439 3088 3360
76 1439 3085 3360
77 1438 3083 3361
78 1437 3080 3362
79 1437 3077 3362
80 1436 3074 3363
81 1435 3071 3364
82 1435 3068 3364
83 1434 3065 3365
84 1433 3062 3366
85 1433 3059 3366
86 1432 3056 3367
87 1431 3053 3368
88 1431 3050 3368
89 1430 3047 3369
90 1429 3045 3370
91 1429 3042 3370
92 1428 3039 3371
93 1427 3036 3372
94 1427 3033 3372
95 1426 3030 3373
96 1425 3027 3374
97 1425 3024 3374
98 1424 3021 3375
99 1424 3018 3375
100 1423 3015 3376
101 1422 3012 3377
102 1422 3009 3377
103 1421 3006 3378
104 1420 3003 3379
105 1420 3000 3379
106 1419 2997 3380
107 1419 2994 3380
108 1418 2991 3381
109 1417 2988 3382
110 1417 2986 3382
111 1416 2983 3383
112 1416 2980 3383
113 1415 2977 3384
114 1415 2974 3384
115 1414 2971 3385
116 1413 2968 3386
117 1413 2965 3386
118 1412 2962 3387
119 1412 2959 3387
120 1411 2956 3388
121 1411 2953 3388
122 1410 2950 3389
123 1409 2947 3390
124 1409 2944 3390
125 1408 2941 3391
126 1408 2938 3391
127 1407 2935 3392
128 1407 2932 3392
129 1406 2929 3393
130 1406 2926 3393
131 1405 2923 3394
132 1405 2920 3394
133 1404 2917 3395
134 1404 2914 3395
135 1403 2911 3396
136 1403 2908 3396
137 1402 2905 3397
138 1402 2902 3397
139 1401 2899 3398
140 1401 2896 3398
141 1400 2893 3399
142 1400 2890 3399
143 1399 2887 3400
144 1399 2884 3400
145 1398 2881 3401
146 1398 2878 3401
147 1397 2874 3402
148 1397 2871 3402
149 1396 2868 3403
150 1396 2865 3403
151 1395 2862 3404
152 1395 2859 3404
153 1394 2856 3405
154 1394 2853 3405
155 1393 2850 3406
156 1393 2847 3406
157 1392 2844 3407
158 1392 2841 3407
159 1392 2838 3407
160 1391 2835 3408
161 1391 2832 3408
162 1390 2829 3409
163 1390 2826 3409
164 1389 2823 3410
165 1389 2820 3410
166 1389 2817 3410
167 1388 2814 3411
168 1388 2811 3411
169 1387 2807 3412
170 1387 2804 3412
171 1386 2801 3413
172 1386 2798 3413
173 1386 2795 3413
174 1385 2792 3414
175 1385 2789 3414
176 1385 2786 3414
177 1384 2783 3415
178 1384 2780 3415
179 1383 2777 3416
180 1383 2774 3416
181 1383 2771 3416
182 1382 2768 3417
183 1382 2765 3417
184 1381 2761 3418
185 1381 2758 3418
186 1381 2755 3418
187 1380 2752 3419
188 1380 2749 3419
189 1380 2746 3419
190 1379 2743 3420
191 1379 2740 3420
192 1379 2737 3420
193 1378 2734 3421
194 1378 2731 3421
195 1378 2728 3421
196 1377 2724 3422
197 1377 2721 3422
198 1377 2718 3422
199 1376 2715 3423
200 1376 2712 3423
201 1376 2709 3423
202 1375 2706 3424
203 1375 2703 3424
204 1375 2700 3424
205 1375 2697 3424
206 1374 2693 3425
207 1374 2690 3425
208 1374 2687 3425
209 1373 2684 3426
210 1373 2681 3426
211 1373 2678 3426
212 1373 2675 3426
213 1372 2672 3427
214 1372 2669 3427
215 1372 2666 3427
216 1371 2662 3428
217 1371 2659 3428
218 1371 2656 3428
219 1371 2653 3428
220 1370 2650 3429
221 1370 2647 3429
222 1370 2644 3429
223 1370 2641 3429
224 1369 2638 3430
225 1369 2634 3430
226 1369 2631 3430
227 1369 2628 3430
228 1368 2625 3431
229 1368 2622 3431
230 1368 2619 3431
231 1368 2616 3431
232 1368 2613 3431
233 1367 2610 3432
234 1367 2606 3432
235 1367 2603 3432
236 1367 2600 3432
237 1367 2597 3432
238 1366 2594 3433
239 1366 2591 3433
240 1366 2588 3433
241 1366 2585 3433
242 1366 2581 3433
243 1365 2578 3434
244 1365 2575 3434
245 1365 2572 3434
246 1365 2569 3434
247 1365 2566 3434
248 1365 2563 3434
249 1364 2560 3435
250 1364 2556 3435
251 1364 2553 3435
252 1364 2550 3435
253 1364 2547 3435
254 1364 2544 3435
255 1363 2541 3436
256 1363 2538 3436
257 1363 2534 3436
258 1363 2531 3436
259 1363 2528 3436
260 1363 2525 3436
261 1363 2522 3436
262 1363 2519 3436
263 1362 2516 3437
264 1362 2513 3437
265 1362 2509 3437
266 1362 2506 3437
267 1362 2503 3437
268 1362 2500 3437
269 1362 2497 3437
270 1362 2494 3437
271 1362 2491 3437
272 1362 2487 3437
273 1361 2484 3438
274 1361 2481 3438
275 1361 2478 3438
276 1361 2475 3438
277 1361 2472 3438
278 1361 2469 3438
279 1361 2465 3438
280 1361 2462 3438
281 1361 2459 3438
282 1361 2456 3438
283 1361 2453 3438
284 1361 2450 3438
285 1361 2447 3438
286 1361 2443 3438
287 1361 2440 3438
288 1360 2437 3439
289 1360 2434 3439
290 1360 2431 3439
291 1360 2428 3439
292 1360 2425 3439
293 1360 2421 3439
294 1360 2418 3439
295 1360 2415 3439
296 1360 2412 3439
297 1360 2409 3439
298 1360 2406 3439
299 1360 2403 3439
300 1360 2400 3439
301 1360 2396 3439
302 1360 2393 3439
303 1360 2390 3439
304 1360 2387 3439
305 1360 2384 3439
306 1360 2381 3439
307 1360 2378 3439
308 1360 2374 3439
309 1360 2371 3439
310 1360 2368 3439
311 1360 2365 3439
312 1360 2362 3439
313 1361 2359 3438
314 1361 2356 3438
315 1361 2352 3438
316 1361 2349 3438
317 1361 2346 3438
318 1361 2343 3438
319 1361 2340 3438
320 1361 2337 3438
321 1361 2334 3438
322 1361 2330 3438
323 1361 2327 3438
324 1361 2324 3438
325 1361 2321 3438
326 1361 2318 3438
327 1361 2315 3438
328 1362 2312 3437
329 1362 2308 3437
330 1362 2305 3437
331 1362 2302 3437
332 1362 2299 3437
333 1362 2296 3437
334 1362 2293 3437
335 1362 2290 3437
336 1362 2286 3437
337 1362 2283 3437
338 1363 2280 3436
339 1363 2277 3436
340 1363 2274 3436
341 1363 2271 3436
342 1363 2268 3436
343 1363 2265 3436
344 1363 2261 3436
345 1363 2258 3436
346 1364 2255 3435
347 1364 2252 3435
348 1364 2249 3435
349 1364 2246 3435
350 1364 2243 3435
351 1364 2239 3435
352 1365 2236 3434
353 1365 2233 3434
354 1365 2230 3434
355 1365 2227 3434
356 1365 2224 3434
357 1365 2221 3434
358 1366 2218 3433
359 1366 2214 3433
360 1366 2211 3433
361 1366 2208 3433
362 1366 2205 3433
363 1367 2202 3432
364 1367 2199 3432
365 1367 2196 3432
366 1367 2193 3432
367 1367 2189 3432
368 1368 2186 3431
369 1368 2183 3431
370 1368 2180 3431
371 1368 2177 3431
372 1368 2174 3431
373 1369 2171 3430
374 1369 2168 3430
375 1369 2165 3430
376 1369 2161 3430
377 1370 2158 3429
378 1370 2155 3429
379 1370 2152 3429
380 1370 2149 3429
381 1371 2146 3428
382 1371 2143 3428
383 1371 2140 3428
384 1371 2137 3428
385 1372 2133 3427
386 1372 2130 3427
387 1372 2127 3427
388 1373 2124 3426
389 1373 2121 3426
390 1373 2118 3426
391 1373 2115 3426
392 1374 2112 3425
393 1374 2109 3425
394 1374 2106 3425
395 1375 2102 3424
396 1375 2099 3424
397 1375 2096 3424
398 1375 2093 3424
399 1376 2090 3423
400 1376 2087 3423
401 1376 2084 3423
402 1377 2081 3422
403 1377 2078 3422
404 1377 2075 3422
405 1378 2071 3421
406 1378 2068 3421
407 1378 2065 3421
408 1379 2062 3420
409 1379 2059 3420
410 1379 2056 3420
411 1380 2053 3419
412 1380 2050 3419
413 1380 2047 3419
414 1381 2044 3418
415 1381 2041 3418
416 1381 2038 3418
417 1382 2034 3417
418 1382 2031 3417
419 1383 2028 3416
420 1383 2025 3416
421 1383 2022 3416
422 1384 2019 3415
423 1384 2016 3415
424 1385 2013 3414
425 1385 2010 3414
426 1385 2007 3414
427 1386 2004 3413
428 1386 2001 3413
429 1386 1998 3413
430 1387 1995 3412
431 1387 1992 3412
432 1388 1988 3411
433 1388 1985 3411
434 1389 1982 3410
435 1389 1979 3410
436 1389 1976 3410
437 1390 1973 3409
438 1390 1970 3409
439 1391 1967 3408
440 1391 1964 3408
441 1392 1961 3407
442 1392 1958 3407
443 1392 1955 3407
444 1393 1952 3406
445 1393 1949 3406
446 1394 1946 3405
447 1394 1943 3405
448 1395 1940 3404
449 1395 1937 3404
450 1396 1934 3403
451 1396 1931 3403
452 1397 1928 3402
453 1397 1925 3402
454 1398 1922 3401
455 1398 1918 3401
456 1399 1915 3400
457 1399 1912 3400
458 1400 1909 3399
459 1400 1906 3399
460 1401 1903 3398
461 1401 1900 3398
462 1402 1897 3397
463 1402 1894 3397
464 1403 1891 3396
465 1403 1888 3396
466 1404 1885 3395
467 1404 1882 3395
468 1405 1879 3394
469 1405 1876 3394
470 1406 1873 3393
471 1406 1870 3393
472 1407 1867 3392
473 1407 1864 3392
474 1408 1861 3391
475 1408 1858 3391
476 1409 1855 3390
477 1409 1852 3390
478 1410 1849 3389
479 1411 1846 3388
480 1411 1843 3388
481 1412 1840 3387
482 1412 1837 3387
483 1413 1834 3386
484 1413 1831 3386
485 1414 1828 3385
486 1415 1825 3384
487 1415 1822 3384
488 1416 1819 3383
489 1416 1816 3383
490 1417 1813 3382
491 1417 1811 3382
492 1418 1808 3381
493 1419 1805 3380
494 1419 1802 3380
495 1420 1799 3379
496 1420 1796 3379
497 1421 1793 3378
498 1422 1790 3377
499 1422 1787 3377
500 1423 1784 3376
501 1424 1781 3375
502 1424 1778 3375
503 1425 1775 3374
504 1425 1772 3374
505 1426 1769 3373
506 1427 1766 3372
507 1427 1763 3372
508 1428 1760 3371
509 1429 1757 3370
510 1429 1754 3370
511 1430 1752 3369
512 1431 1749 3368
513 1431 1746 3368
514 1432 1743 3367
515 1433 1740 3366
516 1433 1737 3366
517 1434 1734 3365
518 1435 1731 3364
519 1435 1728 3364
520 1436 1725 3363
521 1437 1722 3362
522 1437 1719 3362
523 1438 1716 3361
524 1439 1714 3360
525 1439 1711 3360
526 1440 1708 3359
527 1441 1705 3358
528 1441 1702 3358
529 1442 1699 3357
530 1443 1696 3356
531 1444 1693 3355
532 1444 1690 3355
533 1445 1688 3354
534 1446 1685 3353
535 1446 1682 3353
536 1447 1679 3352
537 1448 1676 3351
538 1449 1673 3350
539 1449 1670 3350
540 1450 1667 3349
541 1451 1665 3348
542 1452 1662 3347
543 1452 1659 3347
544 1453 1656 3346
545 1454 1653 3345
546 1455 1650 3344
547 1455 1647 3344
548 1456 1644 3343
549 1457 1642 3342
550 1458 1639 3341
551 1458 1636 3341
552 1459 1633 3340
553 1460 1630 3339
554 1461 1627 3338
555 1462 1625 3337
556 1462 1622 3337
557 1463 1619 3336
558 1464 1616 3335
559 1465 1613 3334
560 1465 1610 3334
561 1466 1608 3333
562 1467 1605 3332
563 1468 1602 3331
564 1469 1599 3330
565 1469 1596 3330
566 1470 1594 3329
567 1471 1591 3328
568 1472 1588 3327
569 1473 1585 3326
570 1474 1582 3325
571 1474 1580 3325
572 1475 1577 3324
573 1476 1574 3323
574 1477 1571 3322
575 1478 1568 3321
576 1479 1566 3320
577 1479 1563 3320
578 1480 1560 3319
579 1481 1557 3318
580 1482 1554 3317
581 1483 1552 3316
582 1484 1549 3315
583 1484 1546 3315
584 1485 1543 3314
585 1486 1541 3313
586 1487 1538 3312
