i, Sin(2PIi/ArraySize)
0, 0.000000
1, 0.001745
2, 0.003491
3, 0.005236
4, 0.006981
5, 0.008727
6, 0.010472
7, 0.012217
8, 0.013962
9, 0.015707
10, 0.017452
11, 0.019197
12, 0.020942
13, 0.022687
14, 0.024432
15, 0.026177
16, 0.027922
17, 0.029666
18, 0.031411
19, 0.033155
20, 0.034899
21, 0.036644
22, 0.038388
23, 0.040132
24, 0.041876
25, 0.043619
26, 0.045363
27, 0.047106
28, 0.048850
29, 0.050593
30, 0.052336
31, 0.054079
32, 0.055822
33, 0.057564
34, 0.059306
35, 0.061049
36, 0.062791
37, 0.064532
38, 0.066274
39, 0.068015
40, 0.069756
41, 0.071497
42, 0.073238
43, 0.074979
44, 0.076719
45, 0.078459
46, 0.080199
47, 0.081939
48, 0.083678
49, 0.085417
50, 0.087156
51, 0.088894
52, 0.090633
53, 0.092371
54, 0.094108
55, 0.095846
56, 0.097583
57, 0.099320
58, 0.101056
59, 0.102793
60, 0.104528
61, 0.106264
62, 0.107999
63, 0.109734
64, 0.111469
65, 0.113203
66, 0.114937
67, 0.116671
68, 0.118404
69, 0.120137
70, 0.121869
71, 0.123601
72, 0.125333
73, 0.127065
74, 0.128796
75, 0.130526
76, 0.132256
77, 0.133986
78, 0.135716
79, 0.137445
80, 0.139173
81, 0.140901
82, 0.142629
83, 0.144356
84, 0.146083
85, 0.147809
86, 0.149535
87, 0.151261
88, 0.152986
89, 0.154710
90, 0.156434
91, 0.158158
92, 0.159881
93, 0.161604
94, 0.163326
95, 0.165048
96, 0.166769
97, 0.168489
98, 0.170209
99, 0.171929
100, 0.173648
101, 0.175367
102, 0.177085
103, 0.178802
104, 0.180519
105, 0.182236
106, 0.183951
107, 0.185667
108, 0.187381
109, 0.189095
110, 0.190809
111, 0.192522
112, 0.194234
113, 0.195946
114, 0.197657
115, 0.199368
116, 0.201078
117, 0.202787
118, 0.204496
119, 0.206204
120, 0.207912
121, 0.209619
122, 0.211325
123, 0.213030
124, 0.214735
125, 0.216440
126, 0.218143
127, 0.219846
128, 0.221548
129, 0.223250
130, 0.224951
131, 0.226651
132, 0.228351
133, 0.230050
134, 0.231748
135, 0.233445
136, 0.235142
137, 0.236838
138, 0.238533
139, 0.240228
140, 0.241922
141, 0.243615
142, 0.245307
143, 0.246999
144, 0.248690
145, 0.250380
146, 0.252069
147, 0.253758
148, 0.255446
149, 0.257133
150, 0.258819
151, 0.260505
152, 0.262189
153, 0.263873
154, 0.265556
155, 0.267238
156, 0.268920
157, 0.270600
158, 0.272280
159, 0.273959
160, 0.275637
161, 0.277315
162, 0.278991
163, 0.280667
164, 0.282341
165, 0.284015
166, 0.285688
167, 0.287361
168, 0.289032
169, 0.290702
170, 0.292372
171, 0.294040
172, 0.295708
173, 0.297375
174, 0.299041
175, 0.300706
176, 0.302370
177, 0.304033
178, 0.305695
179, 0.307357
180, 0.309017
181, 0.310676
182, 0.312335
183, 0.313992
184, 0.315649
185, 0.317305
186, 0.318959
187, 0.320613
188, 0.322266
189, 0.323917
190, 0.325568
191, 0.327218
192, 0.328867
193, 0.330514
194, 0.332161
195, 0.333807
196, 0.335452
197, 0.337095
198, 0.338738
199, 0.340380
200, 0.342020
201, 0.343660
202, 0.345298
203, 0.346936
204, 0.348572
205, 0.350207
206, 0.351842
207, 0.353475
208, 0.355107
209, 0.356738
210, 0.358368
211, 0.359997
212, 0.361625
213, 0.363251
214, 0.364877
215, 0.366501
216, 0.368125
217, 0.369747
218, 0.371368
219, 0.372988
220, 0.374607
221, 0.376224
222, 0.377841
223, 0.379456
224, 0.381070
225, 0.382683
226, 0.384295
227, 0.385906
228, 0.387516
229, 0.389124
230, 0.390731
231, 0.392337
232, 0.393942
233, 0.395546
234, 0.397148
235, 0.398749
236, 0.400349
237, 0.401948
238, 0.403545
239, 0.405142
240, 0.406737
241, 0.408330
242, 0.409923
243, 0.411514
244, 0.413104
245, 0.414693
246, 0.416281
247, 0.417867
248, 0.419452
249, 0.421036
250, 0.422618
251, 0.424199
252, 0.425779
253, 0.427358
254, 0.428935
255, 0.430511
256, 0.432086
257, 0.433659
258, 0.435231
259, 0.436802
260, 0.438371
261, 0.439939
262, 0.441506
263, 0.443071
264, 0.444635
265, 0.446198
266, 0.447759
267, 0.449319
268, 0.450878
269, 0.452435
270, 0.453990
271, 0.455545
272, 0.457098
273, 0.458650
274, 0.460200
275, 0.461749
276, 0.463296
277, 0.464842
